bangla_speech ,banglish_speech ,barishal_bangla_speech ,barishal_banglish_speech ,region_name ,english_speech
কেমন আছো ?,kemon acho?,আসো কোরোহম?,Aso korohom?,Barishal ,How are you?
আজকে আমার মন ভালো নেই,ajke amr mon valo nei,আইজ মোর মনডা ভালোনা ,aij mor monda valona,Barishal ,I'm not feeling well today
তুমি কি করো ?,tumi ki koro? ,ও মোনু হর কি?,o monu horo ki?,Barishal ,what are you doing
এই গরমে আমার কিছু ভালো লাগে না,ei gorome amar kichu valo lage na,এই থাডা পরা গরমে মোর কিস্সু ভাল্লাগেনা,ei thada pora gorome mor kissu vallagena,Barishal ,I don't like anything this summer
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,cheleti sada ronger ekti shirt pore eshechilo,পলাউগ্গা এউক্কা ধলা রং এর এউক্কা গুন্জি পইর্রা আইসেল,polaugga eukka dhola rong er eukka gunji poirra aiselo,Barishal ,The boy came wearing a white shirt
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,meyeti lal ronger shari pore amar sathe dekha korte eshechilo ,মাইআউগ্গা লাল  রুঙ্গা  শাড়ি পইর্রা মর লগে দেহা হর্তে আইসিলো,maiaugga lal runga shari poirra mor loge deha horte aisiloo,Barishal ,The girl came to meet me wearing a red color saree
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,cheleti sylhet theke dhakay esheche,পলাউগ্গা শ্যলেত দিয়া ধাহা আইসেলে,polaugga sylhet dia dhaha aisele,Barishal ,The boy came from Sylhet to Dhaka
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,meyeti sylhet theke asha ei cheletike onek valobashe,মাইআউগ্গা শ্যলেত দিআ আঔআ পলাউগ্গারে আক্সের ভালপায়,maiaugga sylhet dia awa polauggare akser valopay,Barishal ,The girl loves this boy from Sylhet very much
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,cheleti meyetake ekhno valobasar cokhe dekheni,পলাউগ্গা মাইআউগ্গারে আহন ভালপাঔআর ছহে দেহেনাই,polaugga maiauggare ahono valopawar chohe dehenai,Barishal ,The boy has not yet seen the girl in the eyes of love
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,meyeti tar sob shopner moddhe cheletake kolpona kore,মাইআউগ্গা হেয়ার শব হপ্পনের মইদ্ধে পলাউগ্গারে ভাব্তে থাহে,maiaugga heyar shob hopponer moiddhe polauggare vabte thahe,Barishal ,The girl imagines the boy in all her dreams
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,amar onek din age ekbar biye hoyechilo,মর বহুত দিন আগের্গ এউক্কা বিয়া হইসেলে,mor bohut din agergo eukka biya hoisele,Barishal ,I was once married a long time ago
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,amar ma amake bolechilo biye hole jibon poriborton hoye jay,মর মাএ মরে কইসেলে বিআ হর্লে জিবন পরিবর্তন হইআ জায়,mor mae more koisele bia horle jibon poriborton hoia jay,Barishal ,My mother told me that marriage changes life
আম্মু ঐদিন ঠিক কথাই বলেছিলও,ammu oidin thik kothai bolechilo,মাএ অইদিন হাস্সইঅ কথাই কইসেলে,maye oidin hassoio kothai koisele,Barishal ,Mom said the right thing that day
আম্মু সব সময় আমার মনের কথা বুঝে,ammu sob somoy amar moner kotha bujhe,মাএ শব্কালে মর কইল্যার কথাউগ্গা বঝে,maye shobkale mor koilyar kothaugga bojhe,Barishal ,Mom always understands my thoughts
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,amar basar kajer meyeti ekhon valo moto kaj kore nah,ঘরের কামের সেম্রি আহন থিক্কইর্রা কাম হরে না,ghorer kamer semri ahon thikkoirra kam hore na,Barishal ,My maid is not doing well now
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,amar basar kajer meyeti duidin dhore polatok,মর ঘরের কামের সেম্রি দুই দিন ধইর্রা পলাইন্না,mor ghorer kamer semri dui din dhoirra polainna,Barishal ,My house maid is absconding for two days
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,amar basar daroyan ekhon tar grame ghurte giyeche,মর ঘরের দারআন আহন অই সেম্রির গেরামে ঘর্তে গেসে,mor ghorer daroan ahon oi semrir gerame ghorte gese,Barishal ,The janitor of my house has now gone to visit his village
তোমাকে আমি কল দিবো না,tomake ami call dibo na,তমারে মুই কল্ দিমুনা,tomare mui call dimuna,Barishal ,I will not call you
এই জিনিষটা খুবই বিরক্তিকর ছিল,ei jinishta khubi biroktikor chilo,এই জিনিশ খান আক্কালে অনেক গা জলুইন্না আসেল,ei jinish khan akkale onek ga joluinna aselo,Barishal ,This thing was very annoying
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,se sylhet theke amar sathe dekha korte esechilo,হে শ্যলেত দিআ মর লগে দেহা কর্তে আইসেলে,he sylhet dia mor loge deha korte aisele,Barishal ,He came to meet me from Sylhet
