bangla_speech ,banglish_speech ,mymensingh_bangla_speech ,mymensingh_banglish_speech ,region_name ,english_speech
কেমন আছো ?,kemon acho?,কেমত আছো?,kemot acho?,Mymensingh,How are you?
আজকে আমার মন ভালো নেই,ajke amr mon valo nei,আইজ আমার মন ভালা নাই,aij amar mon vala nai,Mymensingh,I'm not feeling well today
তুমি কি করো ?,tumi ki koro? ,তুমি কিতা করো?,tumi kita koro?,Mymensingh,what are you doing
এই গরমে আমার কিছু ভালো লাগে না,ei gorome amar kichu valo lage na,এই গরমডাত আমার কিছু ভালা লাগে না,ei goromdat amar kichu vala lage na,Mymensingh,I don't like anything this summer
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,cheleti sada ronger ekti shirt pore eshechilo,ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল,cherata sada ronger ekta shirt pira aichilo,Mymensingh,The boy came wearing a white shirt
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,meyeti lal ronger shari pore amar sathe dekha korte eshechilo ,ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,cherita lal ronger shari poira amar sathe dekha korte aisilooo,Mymensingh,The girl came to meet me wearing a red color saree
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,cheleti Sylhet theke Dhakay esheche,ছেড়াটা সিলেটতন ঢাকাত আইসে,cherata sylhetton dhakat aise,Mymensingh,The boy came from Sylhet to Dhaka
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,meyeti Sylhet theke asha ei cheletike onek valobashe,ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,cherita sylhet thaika asa oi cheratare onek valobase,Mymensingh,The girl loves this boy from Sylhet very much
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,cheleti meyetake ekhno valobasar cokhe dekheni,ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,cherata cheritare ekhno valobashar chokhe dekhe nai,Mymensingh,The boy has not yet seen the girl in the eyes of love
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,meyeti tar sob shopner moddhe cheletake kolpona kore,ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,cherita tar sopner moddhe cheratare kolpna kore,Mymensingh,The girl imagines the boy in all her dreams
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,amar onek din age ekbar biye hoyechilo,আমার অনেকদিন আগে একবার বিয়া হইছিল,amar onekdin age ekbar biya hoichilo,Mymensingh,I was once married a long time ago
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,amar ma amake bolechilo biye hole jibon poriborton hoye jay,আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,amar ma amare koisilo biya hoile jibon bodlaya jay,Mymensingh,My mother told me that marriage changes life
আম্মু ঐদিন ঠিক কথাই বলেছিলও,ammu oidin thik kothai bolechilo,আম্মা অইদিন ঠিক কথাই কইসিল,amma oidin thik kothai koisilo,Mymensingh,Mom said the right thing that day
আম্মু সব সময় আমার মনের কথা বুঝে,ammu sob somoy amar moner kotha bujhe,আম্মা সব সময় আমার মনের কথা বুঝে,amma sob somoy amar moner kotha bujhe,Mymensingh,Mom always understands my thoughts
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,amar basar kajer meyeti ekhon valo moto kaj kore nah,আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,amar ghorer kamer cherita ekhon val moto kam kore nah,Mymensingh,My maid is not doing well now
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,amar basar kajer meyeti duidin dhore polatok,আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,amar ghorer kamer cherita duidin dhoira palaiche,Mymensingh,My house maid is absconding for two days
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,amar basar daroyan ekhon tar grame ghurte giyeche,আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,amar barir daroyan ehon or grame ghurte geche,Mymensingh,The janitor of my house has now gone to visit his village
তোমাকে আমি কল দিবো না,tomake ami call dibo na,তোমারে আমি কল দিতাম না,tomare ami call ditam na,Mymensingh,I will not call you
এই জিনিষটা খুবই বিরক্তিকর ছিল,ei jinishta khubi biroktikor chilo,এই জিনিসটা অনেক বিরক্তিকর আছিল,ei jinista onek biroktikor achilo,Mymensingh,This thing was very annoying
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,se sylhet theke amar sathe dekha korte esechilo,সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,se sylhet thaika amar sathe dekha korte aisiloo,Mymensingh,He came to meet me from Sylhet
সে এখন রাজশাহী চলে গেছে,se ekhon rajshahi chole geche,সে এহন রাজশাহী চইলা গেসে,se ehon rajshahi choila gese,Mymensingh,He has now gone to Rajshahi
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,se ekhon tar bondhuder sathe cigarette khay,সে এহন তার বন্ধুরার সাথে সিগারেট খায়,se ehon tar bondhurar sathe cigarette khay,Mymensingh,He now smokes cigarettes with his friends
সে একদমই হাসে না,se ekdomi hashe na,সে এক্কেরেই হাসেনা,se ekkerei hashena,Mymensingh,He doesn't smile at all
সে আমাকে অপমান করে,se amake opoman kore,সে আমারে অপমান করে,se amare opoman kore,Mymensingh,He insults me
তাঁর বই পরতে একদমই ভাল লাগে না,tar boi porte ekdomi valo lage na,তার বই পড়তে এক্কেরেই ভালালাগেনা,tar boi porte ekkerei valalagena,Mymensingh,I don't like wearing his book at all
আপনার কি বই পড়ার অভ্যাস আছে ?,apnar ki boi porar ovvas ache ?,আফনের কি বই পড়ার অভ্যাস আসে?,afner ki boi porar ovvas ase?,Mymensingh,Do you have a habit of reading books?
তুমি কি আমাকে চিনো ?,tumi ki amake chino ?,তুমি কি আমারে চিনো?,tumi ki amare chino?,Mymensingh,Do you know me
আমি তোমাকে চিনতে  পারলাম  না,ami tomake chinte parlam na,আমি তোমারে চিনতে পারলাম না,ami tomare chinte parlam na,Mymensingh,I didn't recognize you
আমি তোমাকে আগে কখনো দেখি নাই,ami tomake age kokhono dekhi nai,আমি তোমারে আগে কখনো দেখি নাই,ami tomare age kokhno dekhi nai,Mymensingh,I've never seen you before
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,amar poralekha korte ekdomi valo lage na,আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,amar poraleha korte ekkerei valalagena,Mymensingh,I don't like to study at all
আপনার পড়ালেখা করা উচিত,apnar poralekha kora uchit,আপনের পড়ালেহা করা দরকার,apner poraleha kora dorkar,Mymensingh,You should study
আপনাকে পড়ালেখা  করতে হবে,apnake poralekha korte hobe,আপনের পড়ালেহা করতে হইব,apner poraleha korte hibo,Mymensingh,You have to study
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,apnar ki poralekha korte ekdomi valo lage nah?,আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,apner ki poraleha korte ekkerei valalage nah?,Mymensingh,Do you not like to study at all?
তোর পড়ালেখা কোরতে হবে,tor poralekha korte hobe,তর পড়ালেহা করতে হইব,tor poraleha korte hoibo,Mymensingh,You have to study
তুই কি আর পড়ালেখা করবি নাহ ?,tui ki ar poralekha korbi nah ?,তুই কি আর পড়ালেহা করতি নাহ?,tui ki ar poraleha korti nah?,Mymensingh,Will you study again?
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,tui ki poralekha chere dite chas ?,তুই কি পড়ালেহা ছাইরা দিতে চাস?,tui ki poraleha chaira dite cas?,Mymensingh,Do you want to quit studying?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,tor ki poralekha korte ekdomi valo lage nah ?,তর কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,tor ki poraleha korte ekkerei valalage nah?,Mymensingh,Don't you like to study at all?
তুমি কি এখন খেতে বসবা  ?,tumi ki ekhon khete boshba ?,তুমি কি এহন খাইতে বইবা,tumi ki ehon khaite boiba,Mymensingh,Are you going to eat now?
আজকে আমার খেতে ভালো লাগছে না,ajke amar khete valo lagche na,আইজকা আমার খাইতে ভালা লাগতাসেনা,aijka amar khaite vala lagtasena,Mymensingh,I don't feel like eating today
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,amar biddaloye onek bondhu ache,আমার ইস্কুলে অনেক বন্ধু আসে,amar schoole onek bondhu ase,Mymensingh,I have many friends at school
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,amar choto bon biddaloye jete chay na,আমার ছোট বইন ইস্কুলে যাইতে চায় না,amar choto boin schoole jaite chay na,Mymensingh,My younger sister doesn't want to go to school
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,amar biddaloye jete onek valo lage,আমার ইস্কুলে যাইতে অনেক ভালা লাগে,amar schoole jaite onek vala lage,Mymensingh,I like going to school very much
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,se tar gramer ekti biddaloye poralekha kore,হেয় তার গেরামের একটা ইস্কুলে পড়ালেহা করে,hey tar geramer ekta schoole poraleha kore,Mymensingh,He studies in a school in his village
সে বিদ্যালয়ে যেতে চায় না,se biddaloye jete chay na,হেয় ইস্কুলে যাইতে চায় না,hey school e jaite chay na,Mymensingh,He doesn't want to go to school
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,tar biddaloye giye poralekha korte valo lage na,হের ইস্কুলে যায়া পড়ালেহা করতে ভালা লাগে না,her school e jaya poraleha korte vala lage na,Mymensingh,He does not like to go to school and study
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,se biddaloye giye bondhuder sathe golpo kore,হেয় ইস্কুলে যায়া বন্ধুরার সাথে গল্প করে,hey school e jaya bondhurar sathe golpo kore,Mymensingh,He goes to school and chats with his friends
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,se biddaloye mathe protidin cricket khele,হেয় ইস্কুলের মাঠে প্রত্যেকদিন ক্রিকেট খেলে,hey school er mathe prottekdin cricket khele,Mymensingh,He plays cricket everyday in the school ground
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,se biddaloye mathe matha ghuriye pore giyechilo,হেয় ইস্কুলের মাঠে মাথা ঘুরায়া পইড়া গেসিল,hey school er mathe matha ghuraya poira gesiloo,Mymensingh,He turned around in the school grounds
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,se onek din age tar biddaloyer ekti meyeke valobasto,হেয় অনেকদিন আগে হের ইস্কুলের একটা ছেড়িরে ভালবাসতো,hey onekdin age her school er ekta cherire valobasto,Mymensingh,He loved a girl from his school a long time ago
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,cheleti tar gramer choto ekti biddaloy theke poralekha kore SSC pass koreche,ছেড়াটা হের গ্রামের ছোট একটা ইস্কুল থাইক্কা পড়ালেহা কইরা এসএসসি পাশ করসে,cherata her gramer choto ekta school thaikka poraleha koira SSC pash korse,Mymensingh,The boy studied from a small school in his village and passed SSC
তোমাদের বাসা কোথায়?,tomader basa kothay?,তোমরার বাসা কই?,tomrar basha koi?,Mymensingh,Where is your home?
ঢাকা বাংলাদেশের রাজধানী,dhaka bangladesher rajdhani,ঢাকা বাংলাদেশের রাজধানী।,dhaka bangladesher rajdhani,Mymensingh,Dhaka is the capital of Bangladesh
তুমি কি আমার সাথে প্রেম করবা?,tumi ki amar sathe prem korba?,তুমি কিতা আমার সাথে প্রেম করবা?,tumi kita amar sathe prem korba?,Mymensingh,Will you make love with me?
আমি আজকে সকালে ফুটবল খেলেছি,ami ajke sokale football khelechi,আমি আজকে সকালে ফুটবল খেলছি,ami ajke sokale football khelchi,Mymensingh,I played football this morning
আমি তোমার মনের কথা বুঝি না,ami tomar moner kotha bujhi na,আমি তোমার মনের কথা বুঝি না।,ami tomar moner kotha bujhi na,Mymensingh,I don't understand your mind
তোমার জন্য আমার খুব কষ্ট হয়,tomar jonno amar khub koshto hoy,তোমার লাইজ্ঞা আমার মেলা কষ্ট হয়,tomar laigga amar mela koshto hoy,Mymensingh,I feel so bad for you
আমাদের স্বপ্ন অনেক বড়,amader shopno onek boro,আমরার স্বপ্ন মেলা বড়,amrar sbopno mela boro,Mymensingh,Our dreams are big
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,olpoboyoshi ekti chele baire footpath e douracche,কম বয়স্ক একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,kom boyosko ekta chera baire futpate douraitase,Mymensingh,A young boy runs outside on the sidewalk
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,ekti choto shishu bichanay lafiye uthche,একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,ekta chuto abu bichanat lafaiya uthche,Mymensingh,A small child is jumping on the bed
একটি ছেলে বিছানায় লাফাচ্ছে,ekti chele bichanai lafacche,একটা ছেড়া বিছানাত লাফাইতাসে,ekta chera bichanat lafaitase,Mymensingh,A boy is jumping on the bed
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,ekti chele ek bichana theke onno bichanay laf dicche,একটা ছেড়া এক বিছানাততন আরেকটা বিছানাত লাফ দিতাসে,ekta chera ek bichanatton arekta bichanat laf ditase,Mymensingh,A boy is jumping from one bed to another
একটি ছোট শিশু ফুটপাতে হাঁটছে,ekti choto shishu footpathe hatche,একটা ছুটো আবু ফুটপাতে হাটতাসে,ekta chuto abu futpate hattase,Mymensingh,A small child is walking on the sidewalk
আমি একজন ছেলে,ami ekjon chele,আমি একটা ছেড়া,ami ekta chera,Mymensingh,I am a boy
আমি একজন মেয়ে,ami ekjon meye,আমি একটা ছেড়ি,ami ekta cheri,Mymensingh,I am a girl
আমার স্বামী আমাকে খুব ভালোবাসে,amar sami amake khub valobashe,আমার জামাই আমারে মেলা ভালবাসে,amar jamai amare mela valobashe,Mymensingh,My husband loves me very much
স্কুল জীবন থেকে তাদের প্রেম ছিলো,school jibon theke tader prem chilo,ইস্কুল জীবনতে তারার প্রেম আসিল,school jibonte tarar prem asiloo,Mymensingh,They had been in love since their school days
আমি বিবাহ করেছি দশ বছর হয়,ami bibaho korechi dosh bochor hoy,আমি বিয়া করসি দশ বছর হইসে,ami biya korsi dosh bochor hoise,Mymensingh,I have been married for ten years
অসম্ভব ভাল ছবি,osomvob valo chobi,অসম্ভব ভালা ছবি,osomvob vala chobi,Mymensingh,Very good picture
বহুদিন পরে একটা ভাল ছবি দেখলাম,bohudin pore ekta valo chobi dekhlam,মেলাদিন পরে একটা ভালা ছবি দেখলাম,meladin pore ekta vala chobi dekhlam,Mymensingh,I saw a good picture after a long time
অসম্ভব ভালো লিখেছেন,osomvob valo likhechen,অসম্ভব ভালা লিখসেন,osomvob vala likhsen,Mymensingh,Very well written
বহুদিন পরে একটা ভালো লেখা পড়লাম,bohudin pore ekta valo lekha porlam,মেলাদিন বাদে একটা ভালা লেহা পড়লাম,meladin bade ekta vala leha porlam,Mymensingh,I read a good article after a long time
প্রচণ্ড মাথা ব্যথা করছিলো,prochondo matha betha korchilo,বহুত মাথা ব্যথা করতাসিলো,bhut matha betha kortasilo,Mymensingh,Had a severe headache
কিছুই বুঝতে পারলাম না,kichui bujhte parlam na,কিনুতাই বুঝতে পারলাম না,kinutai bujhte parlam na,Mymensingh,I did not understand anything
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,tini eta dekhe gyaan hariye fellen,হেয় এইডা দেইক্ষা জ্ঞান হারায়া ফালাইসে,hey eida deikkha jyan haraya falaise,Mymensingh,He fainted at this
এক কথায় অনেক সুন্দর লাগছে আপনাকে,ek kothay onek shundor lagche apnake,এক কথায় মেলা সুন্দর লাগতাসে আফনেরে,ek kothay mela shundor lagtase afnere,Mymensingh,"In one word, you look very beautiful"
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,apnar chobir ceye apni bastobe beshi shundor,আফনের ছবিরতন আফনে বাস্তবে বেশি সুন্দর,afner chobiroton afne bastbe beshi shundor,Mymensingh,You are more beautiful in reality than in your picture
আপনার হাশির কাছে সব কিছু হার মেনে যায়,apnar hashir kache sob kichu har mene jay,আফনের হাসির কাসে বেক কিসু হার মানে,afner hasir kase bek kisu har mane,Mymensingh,Everything succumbs to your laughter
আপনার চোখ অনেক সুন্দর,apnar cokh onek shundor,আফনের চোখ মেলা সুন্দর,afner chokh mela sundor,Mymensingh,Your eyes are very beautiful
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,apnar sathe poricito hoye valo laglo,আফনের লগে পরিচিত হয়া ভালা লাগলো,afner loge poricito hoya vala laglo,Mymensingh,Nice to meet you
অনেক সময় পর আপনাকে দেখছি,onek somoy por apnake dekhchi,মেলা সময় বাদে আফনেরে দেখতাসি,mela somoy bade afnere dekhtasi,Mymensingh,I see you after a long time
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,du vaiyer moddhe jayga jomi niye jhogra hoy,দুই ভাইয়ের মধ্যে জায়গা জমি লয়া ঝগড়া হয়,dui vaiyer moddhe jayga jomi loya jhogra hoy,Mymensingh,The two brothers quarreled over land
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,pore ek vai Kuwait cole jay arek vai sudan cole jay,বাদে এক ভাই কুয়েত যায়গা আরেক ভাই সুদান যায়গা,bade ek vai kuwait jayga arek vai sudan jayga,Mymensingh,Later one brother went to Kuwait and another brother went to Sudan
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,kichu din por sudan ferot lokti biye koren,কয়েকদিন বাদে সুদান ফিরত বেডাটা বিয়া করে,koyekdin bade sudan firot bedata biya kore,Mymensingh,"After a few days, the man returned to Sudan and got married"
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","mobile chara bathroom e gele, mone hoy joruri file chara office e bose achi","মুবাইল ছাড়া লেট্রিনে গেলে, লাগে যে জরুরি ফাইল ছাড়া অফিসে বয়া আসি","mobile chara letrine gele, lage je joruri fail chara office boya asi",Mymensingh,"If I go to the bathroom without my mobile, I feel like I'm sitting in an office without an important file"
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,jader gali deoya hoye geche tara doya kore line theke shore jan,যারার গালি দেওয়ন হয়া গেসে তারা দয়া কইরা লাইনেরতন সইরা যান,jarar gali deoyon hoya gese tara doya koira lainerton soira jan,Mymensingh,Those who have been abused please step out of line
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,pechone ekhono onek manush line e dariye ache,পিছনে এহনো অনেক মানুষ লাইনে খারায়া আসে,pichne ehono onek manush line e kharaya ase,Mymensingh,There are still many people standing in line behind
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,taderke gali deoyar sujog kore din,হেরারে গালি দেওনের সুযোগ কইরা দেন,herare gali deoner sujog koira den,Mymensingh,Give them a chance to abuse
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,khub beshi kichu bolbo na karon abege chokhe pani chole asche,খুব বেশি কিসু কইতাম না কারন আবেগে চোখে পানি চইলা আইসে,khub beshi kisu koitam na karon abege chokhe pani coila aise,Mymensingh,I won't say much because tears are coming from my eyes
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,tumi bolcho je thakar se emni theke jabe,তুমি কইসো যেয় থাকার হেয় এমনেই থাকব,tumi koiso jey thakar hey emnei thakbo,Mymensingh,You say that he will stay like that
প্রথমে আপনাকে একটি দোকানে যেতে হবে,prothome apnake ekti dokane jete hobe,প্রথমে আফনারে একটা দোকানে যাইতে হইব,prothome afnare ekta dokane jaite hoibo,Mymensingh,First you need to go to a store
