bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
কেমন আছো ?,kemon acho?,কেন আচো?,Ken acho?,Chittagong,How are you?
আজকে আমার মন ভালো নেই,ajke amr mon valo nei,আযিয়া আর মন বালা নাই?,ajiya ar mon bala nai?,Chittagong,I'm not feeling well today
তুমি কি করো ?,tumi ki koro? ,তুঁই কি গরো?,tui ki goro?,Chittagong,what are you doing?
এই গরমে আমার কিছু ভালো লাগে না,ei gorome amar kichu valo lage na,এই গরমত আত্তুন কিচু বালা ন লাগের,ei goromot attun kichu bala no lager,Chittagong,I don't like anything this summer
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,cheleti sada ronger ekti shirt pore eshechilo,ফোয়াইবা সাদা রংওর উজ্ঞা শার্ট ফরি আইস্যিল,foyaiba sada rongor ugga shirt fori aissilo,Chittagong,The boy came wearing a white shirt
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,meyeti lal ronger shari pore amar sathe dekha korte eshechilo ,মাইফোয়াইবা লাল রংওর শারি ফরি আঁর লই দেহা গইর্ তো আইস্যে,maifoyaiba lal rongor shari fori ar loi deha goir to aisse,Chittagong,The girl came to meet me wearing a red color saree
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,cheleti Sylhet theke Dhakay esheche,ফোয়াইবা সিলেটত্তুন ঢাহা আইস্যে,foyaiba sylhettun dhaha aisse,Chittagong,The boy came from Sylhet to Dhaka
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,meyeti Sylhet theke asha ei cheletike onek valobashe,মাইফোয়া ইবা সিলেটত্তুন আইস্যেদে ফোয়া ইবারে বঊত বালবাসে,maifoya iba sylhettun aissede foya ibare bout balobase,Chittagong,The girl loves this boy from Sylhet very much
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,cheleti meyetake ekhno valobasar cokhe dekheni,ফোয়াইবা মাইফোয়া ইবারে আইযো বালবাসার চোকে ন দেহে,foyaiba maifoya ibare aijjo balobasar choke no dehe,Chittagong,The boy has not yet seen the girl in the eyes of love
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,meyeti tar sob shopner moddhe cheletake kolpona kore,মাইফোয়া ইবা তার বেজ্ঞিন সফ্নর মইদ্দে ফোয়াইবারে কল্ফনা গরে,maifoya iba tar beggin sofnor moidde foyaibare kolfona gore,Chittagong,The girl imagines the boy in all her dreams
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,amar onek din age ekbar biye hoyechilo,আঁর বউতদিন আগে এব্বার বিয়া অইল,ar boutdin age ebbar biya oilo,Chittagong,I was once married a long time ago
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,amar ma amake bolechilo biye hole jibon poriborton hoye jay,আঁর মা আঁরে হইল বিয়া অইলে জিবন ফাল্টি যা গই,ar ma are hoilo biya oile jibon falti ja goi,Chittagong,My mother told me that marriage changes life
আম্মু ঐদিন ঠিক কথাই বলেছিলও,ammu oidin thik kothai bolechilo,আম্মু অইদিন টিক হতাই হইল,ammu oidin tik hotai hoilo,Chittagong,Mom said the right thing that day
আম্মু সব সময় আমার মনের কথা বুঝে,ammu sob somoy amar moner kotha bujhe,আম্মু এগাযা আঁর মনোর হতা বুজে,ammu egaza ar monor hota buje,Chittagong,Mom always understands my thoughts
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,amar basar kajer meyeti ekhon valo moto kaj kore nah,আঁর বাসার হাজর মাইফোয়া ইবা ইয়া গম গরি হাজ গরিত ন ফারে,ar basar hajor maifoya iba iya gom gori haj gorit no fare,Chittagong,My maid is not doing well now
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,amar basar kajer meyeti duidin dhore polatok,আঁর বাসার হাজর মাইফোয়া ইবা দুইদিন অর দাই গিয়্যুয়,ar basar hajor maifoya iba duidin or dai giyuiyo,Chittagong,My house maid is absconding for two days
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,amar basar daroyan ekhon tar grame ghurte giyeche,আঁর বাসার দারোয়ান এহন ইতার গেরামত বেরাইত গেয়্যে,ar basar daroyan ehon itar geramot berait geiye,Chittagong,The janitor of my house has now gone to visit his village
তোমাকে আমি কল দিবো না,tomake ami call dibo na,তোঁয়ারে আঁই কল ন দিয়ুম,toyare ai call no diyum,Chittagong,I will not call you
