bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
কেমন আছো ?,kemon acho?,ভালা আছনি?,vala achoni?,Sylhet,How are you?
আজকে আমার মন ভালো নেই,ajke amr mon valo nei,আইজকু আমার মন ভালা নায়,aijku amar mon vala nay,Sylhet,I'm not feeling well today
তুমি কি করো ?,tumi ki koro? ,তুমি কিতা খরো?,tumi kita khoro?,Sylhet,what are you doing
এই গরমে আমার কিছু ভালো লাগে না,ei gorome amar kichu valo lage na,অউ গরমো আমার কুনতা ভালা লাগের না,ou gormo amar kunta vala lager na,Sylhet,I don't like anything this summer
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,cheleti sada ronger ekti shirt pore eshechilo,ফুয়াটায় এখটা সাদা রংগর শার্ট পিন্দিয়া আইছিল,fuyatay ekhta sada ronggor shirt pindiya aichilo,Sylhet,The boy came wearing a white shirt
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,meyeti lal ronger shari pore amar sathe dekha korte eshechilo ,ফুড়িটায় লাল রংগর শাড়ি পিন্দিয়া মোর লগে দেখা করাত আইছিল,furitay lal ronggor shari pindiya mor loge dekha korat aichilo,Sylhet,The girl came to meet me wearing a red color saree
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,cheleti Sylhet theke Dhakay esheche,ফুয়াটায় সিলেট থাকি ঢাকাত আইছে,fuyatay sylhet thaki dhakat aiche,Sylhet,The boy came from Sylhet to Dhaka
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,meyeti Sylhet theke asha ei cheletike onek valobashe,ফুড়িটায় সিলেট থাকি আওয়া অউ ফুয়াটারে অনেক ভালা পায়,furitay sylhet thaki aoya ou fuyatare onek vala pay,Sylhet,The girl loves this boy from Sylhet very much
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,cheleti meyetake ekhno valobasar cokhe dekheni,ফুয়াটায় এবো ধরি ফুড়িটারে ভালা পাওয়ার চউকে দেখছে না,fuyatay ebo dhori furitare vala paoyar chouke dekhche na,Sylhet,The boy has not yet seen the girl in the eyes of love
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,meyeti tar sob shopner moddhe cheletake kolpona kore,ফুড়িটাায় তাইর হখল সফনর মাজে ফুয়াটারে কল্পনা করে,furitaay tair hokhol sofnor maje fuyatare kolpona kore,Sylhet,The girl imagines the boy in all her dreams
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,amar onek din age ekbar biye hoyechilo,আমার বাক্কা আগে এখবার বিয়া অইছিল,amar bakka age ekhbar biya oichilo,Sylhet,I was once married a long time ago
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,amar ma amake bolechilo biye hole jibon poriborton hoye jay,আমার আম্মায় আমারে কইছলা বিয়া অইলে জীবন বদলি যায়,amar ammay amare koichola biya oile jibon bodli jay,Sylhet,My mother told me that marriage changes life
আম্মু ঐদিন ঠিক কথাই বলেছিলও,ammu oidin thik kothai bolechilo,আম্মায় হেদিন ঠিক কথাউ কইছলা,ammay hedin thik kothau koichola,Sylhet,Mom said the right thing that day
আম্মু সব সময় আমার মনের কথা বুঝে,ammu sob somoy amar moner kotha bujhe,আম্মায় হখল সময় অউ আমার মনর কথা বুজইন,ammay hokhol somoy ou amar monor kotha bujin,Sylhet,Mom always understands my thoughts
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,amar basar kajer meyeti ekhon valo moto kaj kore nah,আমার বাসার কামর ফুড়িটায় এখন ভালা মত কাম করে না,amar basar kamor furitay ekhon vala moto kam kore na,Sylhet,My maid is not doing well now
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,amar basar kajer meyeti duidin dhore polatok,আমার বাসাার কামর ফুড়িটায় দুইদিন ধরি ভাগন্তিত ,amar basar kamor furitay duidin dhori vagontito,Sylhet,My house maid is absconding for two days
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,amar basar daroyan ekhon tar grame ghurte giyeche,আমার বাসার দারোয়ান এখন তার গ্রামো পাখানিত গেছে,amar basar daroyan ekhon tar gramo pakhanito geche,Sylhet,The janitor of my house has now gone to visit his village
তোমাকে আমি কল দিবো না,tomake ami call dibo na,আমি তুমারে কল দিতাম নায় ,ami tumare call ditam nay,Sylhet,I will not call you
এই জিনিষটা খুবই বিরক্তিকর ছিল,ei jinishta khubi biroktikor chilo,অউ জিনিসটা খুবঅই  বিরক্তিকর আছিল,ou jinishta khuboi  biroktikor achilo,Sylhet,This thing was very annoying
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,se sylhet theke amar sathe dekha korte esechilo,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,he sylhet thaki amar loge dekha korat aichilo,Sylhet,He came to meet me from Sylhet
সে এখন রাজশাহী চলে গেছে,se ekhon rajshahi chole geche,হে এখন রাজশাহীত গেছে গিয়া,he ekhon rajshahit geche giya,Sylhet,He has now gone to Rajshahi
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,se ekhon tar bondhuder sathe cigarette khay,হে এখন তার বন্ধুবান্ধবর লগে সিগারেট খায়,he ekhon tar bondhubandhobor loge cigerette khay,Sylhet,He now smokes cigarettes with his friends
সে একদমই হাসে না,se ekdomi hashe na,হে এখেবারেউ হাসে না,he ekhebareu hashe na,Sylhet,He doesn't smile at all
সে আমাকে অপমান করে,se amake opoman kore,হে আমারে অপমান করে,he amare opman kore,Sylhet,He insults me
তাঁর বই পরতে একদমই ভাল লাগে না,tar boi porte ekdomi valo lage na,তার বই পড়তে একদম অউ ভালা লাগে না,tar boi porte ekdom ou vala lage na,Sylhet,I don't like wearing his book at all
আপনার কি বই পড়ার অভ্যাস আছে ?,apnar ki boi porar ovvas ache ?,আফনার কিতা বই পড়ার অভ্যাস আছে নি?,afnar kita boi porar ovvash ache ni?,Sylhet,Do you have a habit of reading books?
তুমি কি আমাকে চিনো ?,tumi ki amake chino ?,তুমি আমারে চিনো নি?,tumi amare chino ni?,Sylhet,Do you know me
আমি তোমাকে চিনতে  পারলাম  না,ami tomake chinte parlam na,মুই তুুমারে চিনতাম পারিয়ার না,mui tumare chintam pariyar na,Sylhet,I didn't recognize you
আমি তোমাকে আগে কখনো দেখি নাই,ami tomake age kokhono dekhi nai,মুই তুমারে এর আগে কুনোদিন দেখছি না,mui tumare er age kunodin dekhchi na,Sylhet,I've never seen you before
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,amar poralekha korte ekdomi valo lage na,পড়ালেখা করতে আমার এখদম ভালা লাগে না,poralekha korte amar ekhodom vala lage na,Sylhet,I don't like to study at all
আপনার পড়ালেখা করা উচিত,apnar poralekha kora uchit,আফনার পড়ালেখা করা উচিত,afnar poralekha kora uchit,Sylhet,You should study
আপনাকে পড়ালেখা  করতে হবে,apnake poralekha korte hobe,আফনার পড়ালেখা খরা লাগবো,afnar poralekha khora lagbo,Sylhet,You have to study
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,apnar ki poralekha korte ekdomi valo lage nah?,আফনার কিতা পড়ালেখা করতে এখদম ভালা লাগে নানি?,afnar kita poralekha korte ekhodom vala lage nani?,Sylhet,Do you not like to study at all?
তোর পড়ালেখা কোরতে হবে,tor poralekha korte hobe,তর পড়ালেখা করা লাগবো,tor poralekha kora lagbo,Sylhet,You have to study
তুই কি আর পড়ালেখা করবি নাহ ?,tui ki ar poralekha korbi nah ?,তুই কিতা আর পড়ালেখা করতে নানি,tui kita ar poralekha korte nani,Sylhet,Will you study again?
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,tui ki poralekha chere dite chas ?,তুই কিতা পড়ালেখা ছাড়িত্তে নি?,tui kita poralekha charitte ni?,Sylhet,Do you want to quit studying?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,tor ki poralekha korte ekdomi valo lage nah ?,তর কিতা পড়ালেখা করতে এখদম অউ ভালা লাগে নানি,tor kita poralekha korte ekhodom ou vala lage nani,Sylhet,Don't you like to study at all?
তুমি কি এখন খেতে বসবা  ?,tumi ki ekhon khete boshba ?,তুমি কিতা এখন খানিত বইবায় নি?,tumi kita ekhon khanit boibay ni?,Sylhet,Are you going to eat now?
আজকে আমার খেতে ভালো লাগছে না,ajke amar khete valo lagche na,আইজকু আমার খাইতে ভালা লাগের না,aijku amar khaite vala lager na,Sylhet,I don't feel like eating today
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,amar biddaloye onek bondhu ache,ইস্কুলো আমার বাক্কা বন্ধু আছে,schoolo amar bakka bondhu ache,Sylhet,I have many friends at school
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,amar choto bon biddaloye jete chay na,আমার ছুটো বইন ইস্কুলো যাইতে চায় না,amar chuto boin schoolo jaite cay na,Sylhet,My younger sister doesn't want to go to school
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,amar biddaloye jete onek valo lage,আমার ইস্কু্ল যাইতে অনেক ভালা লাগে,amar school jaite onek vala lage,Sylhet,I like going to school very much
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,se tar gramer ekti biddaloye poralekha kore,হে তার গাউর এখটা ইস্কুলো পড়ে,he tar gaur ekhta schoolo pore,Sylhet,He studies in a school in his village
সে বিদ্যালয়ে যেতে চায় না,se biddaloye jete chay na,হে ইস্কুলো যাইতো চায় না,he schoolo jaito chay na,Sylhet,He doesn't want to go to school
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,tar biddaloye giye poralekha korte valo lage na,তার ইস্কুলো গিয়া পড়ালেখা খরতো ভালা লাগে না,tar schoolo giya poralekha khorto vala lage na,Sylhet,He does not like to go to school and study
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,se biddaloye giye bondhuder sathe golpo kore,হে ইস্কুলো গিয়া বন্ধুরার লগে গফ করে,he schoolo giya bondhurar loge gof kore,Sylhet,He goes to school and chats with his friends
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,se biddaloye mathe protidin cricket khele,হে ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়,he schoolor matho fottekdin cricket khelay,Sylhet,He plays cricket everyday in the school ground
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,se biddaloye mathe matha ghuriye pore giyechilo,হে ইস্কুলর মাাঠো মাথা গুরাইয়া পরি গেছিল,he schoolor maatho matha guraiya pori gechilo,Sylhet,He turned around in the school grounds
